City,State,2012_estimate
Wilmington,North Carolina,109922
Waterbury,Connecticut,109915
Fargo,North Dakota,109779
Arvada,Colorado,109745
Carlsbad,California,109318
Westminster,Colorado,109169
Rochester,Minnesota,108992
Gresham,Oregon,108956
Clearwater,Florida,108732
Lowell,Massachusetts,108522
West Jordan,Utah,108383
Pueblo,Colorado,107772
San Buenaventura (Ventura),California,107734
Fairfield,California,107684
West Covina,California,107440
Billings,Montana,106954
Murrieta,California,106810
High Point,North Carolina,106586
Round Rock,Texas,106573
Richmond,California,106516
Cambridge,Massachusetts,106471
Norwalk,California,106278
Odessa,Texas,106102
Antioch,California,105508
Temecula,California,105208
Green Bay,Wisconsin,104868
Everett,Washington,104655
Wichita Falls,Texas,104552
Burbank,California,104391
Palm Bay,Florida,104124
Centennial,Colorado,103743
Daly City,California,103690
Richardson,Texas,103297
Pompano Beach,Florida,102984
Broken Arrow,Oklahoma,102019
North Charleston,South Carolina,101989
West Palm Beach,Florida,101903
Boulder,Colorado,101808
Rialto,California,101740
Santa Maria,California,101459
El Cajon,California,101435
Davenport,Iowa,101363
Erie,Pennsylvania,101047
Las Cruces,New Mexico,101047
South Bend,Indiana,100800
Flint,Michigan,100515
Kenosha,Wisconsin,100150
